subjectId	activityLabels	activity
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	5	STANDING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	4	SITTING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	6	LAYING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
1	1	WALKING
